Site,latitude,longitude,Type
Pasture10,10.337677,-85.66185,Pasture
Pasture11,10.176849,-85.396653,Pasture
Pasture12,10.144528,-85.358152,Pasture
Pasture13,10.053013,-85.24409,Pasture
Pasture14,10.037295,-85.250538,Pasture
Pasture15,10.045399,-85.240204,Pasture
Pasture16,10.400919,-85.607955,Pasture
Pasture17,10.39388,-85.603231,Pasture
Pasture18,10.342164,-85.566773,Pasture
Pasture19,10.323734,-85.57586,Pasture
Pasture2,10.090074,-85.457174,Pasture
Pasture20,10.315655,-85.5794,Pasture
Pasture3,9.764995,-84.985257,Pasture
Pasture4,9.804164,-84.9158,Pasture
Pasture5,9.781169,-84.941979,Pasture
Pasture6,10.339856,-85.680419,Pasture
Pasture7,10.348789,-85.663378,Pasture
Pasture8,10.351177,-85.653687,Pasture
Pasture9,10.339296,-85.651035,Pasture
PSA0001-2013,9.956385,-85.489432,Plantation
PSA0001-2019,10.379425,-85.409103,Natural_Regeneration
PSA0003-2013,10.04629,-85.253998,Plantation
PSA0003-2016,9.867775,-85.07248,Natural_Regeneration
PSA0004-2017,9.799708,-84.926071,Natural_Regeneration
PSA0006-2020,9.866769,-84.985991,Natural_Regeneration
PSA0009-2018,9.775404,-84.973242,Natural_Regeneration
PSA0010-2010,9.862926,-84.951467,Plantation
PSA0019-2015,9.779873,-85.242605,Plantation
PSA0022-2013,9.998987,-85.378776,Plantation
PSA0022-2015,9.781293,-85.198617,Plantation
PSA0025-2015,9.747684,-85.227633,Plantation
PSA0026-2020,10.014405,-85.403351,Natural_Regeneration
PSA0027-2018,9.908203,-84.961265,Natural_Regeneration
PSA0027-2020,10.090037,-85.452717,Natural_Regeneration
PSA0033-2020,10.087477,-85.447221,Natural_Regeneration
PSA0034-2013,10.045647,-85.461327,Plantation
PSA0035-2017,10.140004,-85.486832,Natural_Regeneration
PSA0042-2017,10.126571,-85.469901,Natural_Regeneration
PSA0045-2013,9.908067,-85.509921,Plantation
PSA0049-2013,10.150723,-85.365235,Plantation
PSA0051-2018,10.38309,-85.462417,Natural_Regeneration
PSA0059-2012,10.412013,-85.418279,Natural_Regeneration
PSA0061-2012,9.867144,-84.974713,Natural_Regeneration
PSA0074-2020,10.11715,-85.611326,Natural_Regeneration
PSA0077-2013,10.057821,-85.45511,Plantation
PSA0078-2013,10.357884,-85.614469,Plantation
PSA0087-2013,10.042089,-85.420343,Plantation
PSA0089-2016,10.162636,-85.568514,Natural_Regeneration
PSA0093-2010,9.893221,-85.209029,Plantation
PSA0093-2018,9.789404,-84.953989,Natural_Regeneration
PSA0094-2013,9.916368,-85.617281,Plantation
PSA0095-2013,9.900368,-85.581984,Plantation
PSA0096-2013,9.933043,-85.603672,Plantation
PSA0099-2013,9.901812,-85.600705,Plantation
PSA0099-2019,10.148668,-85.562963,Natural_Regeneration
PSA0116-2019,9.996286,-85.300947,Natural_Regeneration
PSA0123-2018,9.900988,-85.058166,Natural_Regeneration
PSA0131-2018,10.000483,-85.396116,Natural_Regeneration
PSA0132-2013,9.878548,-85.091081,Natural_Regeneration
PSA0135-2020,10.145904,-85.571727,Natural_Regeneration
PSA0151-2016,9.941921,-85.03513,Natural_Regeneration
PSA0152-2013,9.859385,-84.958925,Natural_Regeneration
PSA0159-2020,10.133546,-85.633209,Natural_Regeneration
PSA0161-2016,9.903031,-85.067956,Natural_Regeneration
PSA0165-2021,9.871347,-84.96811,Natural_Regeneration
PSA0166-2016,10.096192,-85.509244,Natural_Regeneration
PSA0167-2010,9.923814,-85.519319,Plantation
PSA0168-2016,10.101928,-85.507895,Natural_Regeneration
PSA0170-2016,9.905932,-85.233058,Natural_Regeneration
PSA0175-2013,10.108876,-85.609188,Natural_Regeneration
PSA0179-2013,10.350383,-85.509869,Natural_Regeneration
PSA0183-2017,10.104767,-85.504834,Natural_Regeneration
PSA0189-2007,10.036689,-85.302987,Plantation
PSA0192-2009,10.173365,-85.37455,Plantation
PSA0193-2013,10.079726,-85.459654,Natural_Regeneration
PSA0229-2012,9.91418,-85.231469,Natural_Regeneration
PSA0254-2011,10.06177,-85.462971,Plantation
PSA0259-2012,9.914917,-85.513311,Plantation
PSA0280-2012,10.418507,-85.586667,Plantation
PSA0285-2011,10.005537,-85.432393,Plantation
PSA0289-2012,9.929276,-85.59998,Plantation
PSA0290-2012,9.937965,-85.59733,Plantation
PSA0292-2012,9.931769,-85.610853,Plantation
PSA0310-2011,10.063286,-85.246904,Plantation
PSA0313-2012,10.058171,-85.236168,Plantation
PSA0331-2012,10.360031,-85.604238,Plantation
PSA0332-2012,10.051912,-85.229422,Plantation
PSA0341-2012,9.837511,-84.972004,Natural_Regeneration
PSA0342-2013,10.042576,-85.212849,Plantation
PSA0350-2012,10.015324,-85.417598,Plantation
PSA0351-2012,10.022188,-85.446894,Plantation
PSA0373-2011,10.026163,-85.493021,Plantation
PSA0374-2012,10.048363,-85.427338,Plantation
PSA0377-2011,10.39411,-85.669684,Plantation
PSA0380-2011,9.916817,-85.528727,Plantation
PSA0400-2013,10.013978,-85.441603,Plantation
PSA0401-2011,10.349981,-85.606619,Plantation
PSA0418-2013,10.132322,-85.4932,Natural_Regeneration
PSA0429-2012,10.061398,-85.49633,Plantation
PSA0431-2013,9.769693,-84.968224,Natural_Regeneration
PSA0483-2013,9.984975,-85.500986,Plantation
RefForest1,9.781682,-84.929703,Reference_Forest
RefForest10,10.130953,-85.443589,Reference_Forest
RefForest11,10.288491,-85.58583,Reference_Forest
RefForest12,10.190503,-85.597397,Reference_Forest
RefForest13,10.201002,-85.601973,Reference_Forest
RefForest14,10.196744,-85.608737,Reference_Forest
RefForest15,10.324198,-85.721857,Reference_Forest
RefForest16,10.367994,-85.793354,Reference_Forest
RefForest17,10.342749,-85.851379,Reference_Forest
RefForest18,10.394641,-85.816081,Reference_Forest
RefForest19,10.240592,-85.549164,Reference_Forest
RefForest4,9.930764,-85.008129,Reference_Forest
RefForest5,10.173025,-85.362946,Reference_Forest
RefForest6,9.954842,-85.20542,Reference_Forest
RefForest7,9.891859,-84.956505,Reference_Forest
RefForest8.1,9.900216,-85.511873,Reference_Forest
RefForest8.2,10.130734,-85.462651,Reference_Forest
RefForest9,10.128029,-85.455111,Reference_Forest